reservation_id,customer_id,reservation_time,party_size,seating_area,special_requests,status,duration,occasion,preferred_server,table_preference
848a7396-e91a-4f78-9f92-f100b0a461ab,001da8d8-1600-4a2a-b8ca-23c5919f3385,2025-07-02 12:30:04.757296,2,main_dining,"['special dietary requirements', 'booth']",pending,90,birthday,John Smith,2-top
519bb9fc-d66d-48b4-8457-712efa17a7d7,f7c8ba98-0bd7-4e3e-af7e-b838d4cd7323,2025-07-20 18:30:04.757897,4,outdoor_patio,"['special dietary requirements', 'window seat', 'birthday celebration']",cancelled,120,regular_dining,David Wilson,4-top
bc9db3e5-f78c-416e-b707-c01b714fbfad,509672d4-fdaf-4bca-be76-79896b99fa52,2025-06-30 14:45:04.758012,6,main_dining,[],no_show,150,anniversary,James Taylor,6-top
9485b11f-be35-4485-b0da-785ec2b15d85,f7705a59-075c-4e66-aae4-ec3e14b979c3,2025-07-03 15:00:04.758110,2,main_dining,"['quiet table', 'booth', 'birthday celebration']",pending,90,regular_dining,John Smith,2-top
d5accf92-9f0f-4138-ac42-37a2b0bfbddb,27b47794-7c99-4425-97a4-8c4e9b85f481,2025-07-30 13:15:04.758213,5,main_dining,[],confirmed,135,anniversary,Michael Brown,6-top
d3c879d8-99f6-4fd9-86fa-7c04c3194983,792fd0e3-3189-4ea6-b6d4-f4610f73dcb8,2025-07-21 13:30:04.758305,2,bar,"['quiet table', 'window seat', 'high chair']",pending,90,birthday,Sarah Johnson,2-top
d351a40b-f4fc-4c2f-a325-3c41196cd7f2,13a9e960-93a8-4842-893f-da0bff1ce10f,2025-07-28 17:30:04.758398,3,main_dining,[],cancelled,105,regular_dining,James Taylor,booth
3a5a66bb-5a88-4785-87d6-bfc3ca3d5182,96645fa4-4538-4100-aa40-808e7bfa3f8c,2025-07-26 18:45:04.758490,4,main_dining,[],pending,120,regular_dining,Sarah Johnson,booth
f3a57ffb-2571-4dd7-84f0-1e3905cc3727,cab96fb1-1043-45eb-9b74-e503256ab9c7,2025-07-11 18:00:04.758579,4,outdoor_patio,"['wheelchair accessible', 'booth', 'quiet table']",confirmed,120,regular_dining,Emily Davis,booth
22cbc65d-6ce1-4370-9042-1490d659599f,05f34046-7fc7-4faa-b6c5-5cd310c7c7f3,2025-07-13 11:30:04.758674,4,main_dining,"['special dietary requirements', 'window seat', 'booth']",confirmed,120,regular_dining,Jennifer Martinez,4-top
8be0b750-c044-49ed-84af-78586b22cf4b,096c5466-2140-4d64-9f90-29a12db6495e,2025-07-08 21:30:04.758769,3,outdoor_patio,[],cancelled,105,regular_dining,Emily Davis,4-top
d253c235-c6ab-4602-adc9-767a408af3c7,a92a13f7-fe48-424e-b272-5105c8edc53b,2025-07-30 20:15:04.758860,1,outdoor_patio,"['birthday celebration', 'booth']",confirmed,75,anniversary,James Taylor,bar
47bc8ca0-aaf5-480f-87bf-162f9ccb69e6,b6d73899-ce71-4d6b-9a7e-2ab26000d161,2025-07-20 16:00:04.758953,2,bar,[],confirmed,90,regular_dining,David Wilson,booth
f378ac32-44d8-4a85-aedd-a81946ac1c98,1d80eb28-dfe9-44be-a114-581888f0596e,2025-07-01 20:30:04.759041,1,outdoor_patio,"['high chair', 'special dietary requirements', 'anniversary celebration']",confirmed,75,regular_dining,James Taylor,bar
ec856764-16d7-4522-b79b-20f6b3332ee3,9069bf4c-085f-4871-ac10-b9e97256e61b,2025-07-21 15:00:04.759133,2,main_dining,[],cancelled,90,regular_dining,Emily Davis,2-top
219b532c-1575-4423-9c94-557521adbb6c,5a338e18-7b57-48c4-a9b6-aa827fe34319,2025-07-17 19:45:04.759220,1,bar,[],cancelled,75,birthday,Sarah Johnson,bar
f159433d-d355-4347-8185-90136e1aa475,c709127a-9880-47ac-8a8a-84ba7c27bb34,2025-07-18 19:45:04.759310,2,outdoor_patio,[],cancelled,90,regular_dining,Emily Davis,booth
2dd21861-b405-489a-bf9e-ecf39269a59b,09824c33-d8b4-423d-aa29-776a0f23b96d,2025-07-20 17:45:04.759397,2,outdoor_patio,[],pending,90,birthday,James Taylor,booth
ea4bdb52-efdd-44ce-a9d6-c6eb16db246e,939a43d0-41c2-456a-a2d1-2f7459e153b8,2025-07-23 16:00:04.759485,4,main_dining,"['allergy considerations', 'booth', 'quiet table']",cancelled,120,business_meeting,Sarah Johnson,booth
